City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,Saraland,US,45.64,clear sky,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
171,Cabo San Lucas,MX,69.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
172,Mount Pleasant,US,52.07,clear sky,32.7941,-79.8626,Best Western Patriots Point
173,Biltine,TD,75.02,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
174,Luza,RU,3.4,scattered clouds,60.6308,47.2512,"Gostinitsa ""Prival"""
176,Narsaq,GL,-1.5,clear sky,60.9167,-46.05,Sleep In Narsaq
177,Solnechnyy,RU,1.83,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
178,Udachnyy,RU,-32.08,broken clouds,66.4167,112.4,Severnoye Siyaniye
179,Spring Valley,US,49.3,few clouds,36.108,-115.245,Westgate Flamingo Bay Resort
180,Severo-Kurilsk,RU,28.13,light snow,50.6789,156.125,Kak Doma
181,Nuuk,GL,5.88,overcast clouds,64.1835,-51.7216,Vandrehuset
182,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
183,Pilar,BR,85.93,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
184,Bapatla,IN,73.71,broken clouds,15.9,80.4667,Kumar Hotel
186,Hornepayne,CA,2.39,broken clouds,49.2138,-84.7705,Kay-Vee Lodge Ltd
187,Sur,OM,73.63,clear sky,22.5667,59.5289,Sur Plaza Hotel
188,Faanui,PF,80.78,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
189,Dongtai,CN,30.07,broken clouds,32.8523,120.3095,Super 8 Dongtai South Hailing Road
190,Sitka,US,42.69,moderate rain,57.0531,-135.33,Westmark Sitka
191,Glasgow,GB,44.51,moderate rain,55.8652,-4.2576,Glasgow Marriott Hotel
192,Havre-Saint-Pierre,CA,7.39,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
196,Shahr-E Kord,IR,31.77,clear sky,32.3256,50.8644,Shahrekord Tourist Hotel
197,Bergen,NO,43.65,light intensity shower rain,60.392,5.328,Clarion Collection Hotel Havnekontoret
198,Havoysund,NO,29.28,broken clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
199,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
200,Norman Wells,CA,-11.65,overcast clouds,65.282,-126.8329,Heritage Hotel
201,Colac,AU,61.16,overcast clouds,-38.3333,143.5833,Otway Gate Motel
202,Mayo,US,33.42,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
203,Torbay,CA,49.75,light rain,47.6666,-52.7314,Gallows Cove
204,Hov,NO,31.89,broken clouds,60.6987,10.3519,Lyngstrand Camping Selj
205,San Patricio,US,44.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
206,Cap-Aux-Meules,CA,24.85,overcast clouds,47.3821,-61.8597,Auberge Madeli
207,Central Point,US,29.61,few clouds,42.376,-122.9164,Courtyard by Marriott Medford Airport
208,Oktyabrskoye,RU,28.54,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
209,Blythe,US,49.03,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
210,Ponta Do Sol,PT,73.13,clear sky,32.6667,-17.1,Hotel do Campo
211,Tulun,RU,23.0,overcast clouds,54.5611,100.5792,Квартира
212,Namibe,AO,76.08,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
214,Sisimiut,GL,2.26,light snow,66.9395,-53.6735,Hotel Sisimiut
215,Kolda,SN,102.88,clear sky,12.8833,-14.95,Hôtel Hobbe Chasse
216,Ancud,CL,71.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
217,Tazovskiy,RU,-7.83,overcast clouds,67.4667,78.7,TazHostel
218,Tabuk,PH,68.34,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
219,Aberystwyth,GB,49.3,light rain,52.4155,-4.0829,Aberystwyth Park Lodge Hotel
220,Surazh,RU,24.82,light snow,53.0175,32.3918,Mini Hotel Surazhichi
221,Saldanha,ZA,89.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
222,Buin,CL,85.05,clear sky,-33.7333,-70.75,Paihuen
223,Maceio,BR,87.24,few clouds,-9.6658,-35.7353,Poutur Pousada
224,Harper,LR,82.99,broken clouds,4.375,-7.7169,Screensaver
225,Ariquemes,BR,80.47,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
226,Grimshaw,CA,2.82,light snow,56.1834,-117.6027,Coast Grimshaw Hotel & Suites
227,Maarianhamina,AX,33.66,clear sky,60.0973,19.9348,Park Alandia Hotel
228,Kaitangata,NZ,44.42,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
229,Guerrero Negro,MX,61.59,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
231,Cherskiy,RU,-32.82,few clouds,68.75,161.3,Gostinitsa
232,Pangody,RU,-16.06,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
233,Mar Del Plata,AR,67.08,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
234,Corinto,GR,55.69,clear sky,37.9407,22.9573,Ephira Hotel
235,Sarai,RU,3.27,broken clouds,53.7458,41.0213,Gostinitsa Verda.
236,Kamaishi,JP,26.78,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
240,Morlaix,FR,50.32,overcast clouds,48.5833,-4.0,Titulipe
241,Beringovskiy,RU,-8.28,broken clouds,63.05,179.3167,Beringgorski
242,Vesoul,FR,45.82,few clouds,47.5833,5.8333,Camping Municipal La Louvière
243,Olinda,BR,87.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
244,Huarmey,PE,76.24,few clouds,-10.0681,-78.1522,Hotel Miramar
245,Elat,IL,60.64,scattered clouds,29.5581,34.9482,Club Hotel Eilat
246,Mersing,MY,80.51,overcast clouds,2.4312,103.8405,Timotel Hotel
247,Ermelo,ZA,56.57,overcast clouds,-26.5333,29.9833,Zemira Guesthouse
248,Yilan,TW,59.36,overcast clouds,24.757,121.753,Dar Chen Hotel
249,Champerico,GT,89.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
250,Kargil,IN,-16.46,scattered clouds,34.5667,76.1,Caravan Sarai
252,Urumqi,CN,2.35,mist,43.801,87.6005,Hua Ling Grand Hotel Urumqi
253,Shimoda,JP,34.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
255,Matagami,CA,-3.89,clear sky,49.7502,-77.6328,Hôtel Matagami
256,Horadiz,AZ,41.77,overcast clouds,39.4488,47.3353,Horadiz Olympic Center
257,Villa Juarez,MX,71.71,clear sky,24.6536,-107.5411,Casa de la Abuela
258,Nador,MA,68.07,clear sky,35.174,-2.9287,Hôtel La Giralda
259,Tezu,IN,55.2,overcast clouds,27.9167,96.1667,Circuit House
260,Acaponeta,MX,72.73,broken clouds,22.4964,-105.3594,Hotel Casa Blanca
261,Nakambala,ZM,67.39,moderate rain,-15.8324,27.7799,Staff Area
262,Bundaberg,AU,70.09,scattered clouds,-24.85,152.35,Takalvan Motel
263,Menongue,AO,62.96,overcast clouds,-14.6585,17.691,Ritz Lauca
264,Pangkalanbuun,ID,74.34,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
265,New Norfolk,AU,59.67,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
266,Tabou,CI,83.03,broken clouds,4.423,-7.3528,hotêl doufoulougou
267,Kudahuvadhoo,MV,81.9,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
268,Pinillos,CO,91.38,scattered clouds,8.9193,-74.4677,HOTEL CASA BLANCA
269,Platanos,GR,57.85,broken clouds,37.6667,21.6167,Hotel Kronio
270,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
271,Kloulklubed,PW,81.43,broken clouds,7.0419,134.2556,Storyboard Beach Resort
272,Bengkulu,ID,74.48,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
273,High Rock,BS,77.02,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
274,Hasaki,JP,27.0,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
275,Marawi,PH,70.65,scattered clouds,7.9986,124.2928,Derogongan Residence
