City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Luocheng,CN,2022-06-07 22:45:44,29.3848,104.0286,70.84,77,99,1.19
154,Georgetown,MY,2022-06-07 22:45:16,5.4112,100.3354,78.73,99,20,5.01
155,Manbij,SY,2022-06-07 22:45:44,36.5281,37.9549,69.82,73,0,11.05
156,Azogues,EC,2022-06-07 22:45:44,-2.7333,-78.8333,58.95,92,92,4.05
157,Marinette,US,2022-06-07 22:45:45,45.1,-87.6307,70.25,56,100,6.91
158,Tuatapere,NZ,2022-06-07 22:45:45,-46.1333,167.6833,50.79,79,42,0.96
159,Roald,NO,2022-06-07 22:45:45,62.5833,6.1333,55.17,81,68,21.85
160,Port Moresby,PG,2022-06-07 22:45:45,-9.4431,147.1797,80.02,83,40,2.3
161,Faanui,PF,2022-06-07 22:45:46,-16.4833,-151.75,79.18,77,22,13.38
162,Saskylakh,RU,2022-06-07 22:45:46,71.9167,114.0833,47.5,65,31,11.16
163,Itoman,JP,2022-06-07 22:45:46,26.1247,127.6694,75.97,96,75,3.44
164,Digapahandi,IN,2022-06-07 22:45:47,19.3667,84.5833,83.59,73,51,3.98
165,Whyalla,AU,2022-06-07 22:45:47,-33.0333,137.5833,55.18,59,100,9.51
166,Elizabeth City,US,2022-06-07 22:45:45,36.2946,-76.2511,82.42,66,0,13.8
167,Sao Gabriel Da Cachoeira,BR,2022-06-07 22:45:47,-0.1303,-67.0892,75.0,94,40,2.3
168,Nizhnyaya Tura,RU,2022-06-07 22:45:48,58.6293,59.8118,53.13,98,100,14.16
169,Katsuura,JP,2022-06-07 22:45:48,35.1333,140.3,62.96,88,100,15.39
170,Key Biscayne,US,2022-06-07 22:45:48,25.6937,-80.1628,77.02,94,100,0.0
171,Noumea,NC,2022-06-07 22:44:00,-22.2763,166.4572,78.78,99,96,1.54
172,Kaitangata,NZ,2022-06-07 22:45:49,-46.2817,169.8464,49.08,73,100,5.84
173,Tsuyama,JP,2022-06-07 22:45:49,35.05,134.0,61.63,68,5,1.66
174,Tual,ID,2022-06-07 22:45:49,-5.6667,132.75,82.63,71,45,4.83
175,Roma,US,2022-06-07 22:41:47,43.2128,-75.4557,68.63,88,100,8.05
176,Cabedelo,BR,2022-06-07 22:42:36,-6.9811,-34.8339,75.87,76,38,8.88
177,Hamina,FI,2022-06-07 22:45:50,60.5697,27.1979,51.08,67,50,5.95
178,Rio Gallegos,AR,2022-06-07 22:41:39,-51.6226,-69.2181,42.85,61,0,12.66
179,Burns Lake,CA,2022-06-07 22:45:50,54.2331,-125.7533,67.42,30,38,6.76
180,Ribeira Grande,PT,2022-06-07 22:45:51,38.5167,-28.7,65.68,94,99,11.3
181,Ostersund,SE,2022-06-07 22:46:06,63.1792,14.6357,57.61,71,20,10.36
182,Charlestown,AU,2022-06-07 22:46:06,-32.95,151.6667,52.11,68,7,5.99
183,Bethel,US,2022-06-07 22:46:07,41.3712,-73.414,70.47,77,100,1.99
184,Marawi,PH,2022-06-07 22:46:07,7.9986,124.2928,71.4,90,99,1.66
185,Jalingo,NG,2022-06-07 22:46:07,8.8833,11.3667,78.24,74,25,5.39
186,Peniche,PT,2022-06-07 22:46:07,39.3558,-9.3811,65.28,92,98,7.92
187,Ngunguru,NZ,2022-06-07 22:46:08,-35.6167,174.5,62.4,70,74,7.02
188,Malacacheta,BR,2022-06-07 22:46:08,-17.8422,-42.0767,61.65,55,69,2.68
189,Fulton,US,2022-06-07 22:46:09,33.7668,-84.4499,83.84,69,0,5.75
190,Saldanha,ZA,2022-06-07 22:46:09,-33.0117,17.9442,57.25,49,2,8.66
191,Meget,RU,2022-06-07 22:46:09,52.415,104.0494,36.36,76,46,2.39
192,Ulundi,ZA,2022-06-07 22:46:10,-28.3352,31.4162,55.11,65,1,4.03
193,Hamilton,US,2022-06-07 22:46:10,39.1834,-84.5333,80.24,74,40,12.66
194,Batuan,PH,2022-06-07 22:46:11,9.7808,124.1484,78.04,78,44,0.96
195,Trat,TH,2022-06-07 22:46:11,12.5,102.5,81.91,91,100,0.83
196,Kinsale,IE,2022-06-07 22:46:12,51.7075,-8.5306,56.57,94,75,13.8
197,Santa Maria,BR,2022-06-07 22:46:12,-29.6842,-53.8069,60.1,94,75,5.75
198,Jimo,CN,2022-06-07 22:46:12,36.3897,120.4622,64.18,82,0,4.47
199,Upernavik,GL,2022-06-07 22:46:12,72.7868,-56.1549,33.24,74,78,5.46
200,Kushima,JP,2022-06-07 22:46:13,31.4583,131.2333,72.73,70,59,2.04
201,Tabuk,PH,2022-06-07 22:46:13,17.4189,121.4443,76.93,85,100,1.3
202,Kidal,ML,2022-06-07 22:46:13,18.4411,1.4078,92.52,14,52,7.2
203,Alice Springs,AU,2022-06-07 22:46:14,-23.7,133.8833,38.75,93,0,0.0
204,Rawson,AR,2022-06-07 22:41:25,-43.3002,-65.1023,51.67,53,38,14.74
205,Srednekolymsk,RU,2022-06-07 22:46:14,67.45,153.6833,45.18,49,32,7.52
206,Olavarria,AR,2022-06-07 22:46:14,-36.8927,-60.3225,51.31,55,86,5.37
207,Arzgir,RU,2022-06-07 22:46:15,45.3728,44.2206,65.26,44,19,3.74
208,Kavali,IN,2022-06-07 22:46:15,14.9167,79.9833,87.17,57,53,19.6
209,Ugoofaaru,MV,2022-06-07 22:46:16,5.6667,73.0,82.18,72,100,12.1
210,Yulara,AU,2022-06-07 22:46:16,-25.2406,130.9889,46.09,64,1,9.46
211,Eirunepe,BR,2022-06-07 22:46:17,-6.6603,-69.8736,74.71,94,94,1.95
212,Bac Lieu,VN,2022-06-07 22:46:17,9.285,105.7244,79.56,86,95,6.35
213,North Bend,US,2022-06-07 22:45:09,43.4065,-124.2243,65.25,91,100,13.8
214,Nabire,ID,2022-06-07 22:46:18,-3.3667,135.4833,77.45,88,66,2.64
215,Tuktoyaktuk,CA,2022-06-07 22:46:18,69.4541,-133.0374,35.6,69,100,13.8
216,Port Hardy,CA,2022-06-07 22:42:54,50.6996,-127.4199,64.58,59,75,3.44
217,Seoul,KR,2022-06-07 22:43:20,37.5683,126.9778,67.44,61,20,8.05
218,Evensk,RU,2022-06-07 22:46:18,61.95,159.2333,50.4,73,100,11.01
219,Klaksvik,FO,2022-06-07 22:46:19,62.2266,-6.589,45.52,74,100,17.36
220,Sitka,US,2022-06-07 22:46:19,57.0531,-135.33,64.29,45,20,8.05
221,Lompoc,US,2022-06-07 22:46:19,34.6391,-120.4579,78.94,67,0,28.01
222,Sarkand,KZ,2022-06-07 22:46:20,45.41,79.9186,59.61,45,0,6.89
223,Cabo San Lucas,MX,2022-06-07 22:46:20,22.8909,-109.9124,84.61,67,9,14.32
224,Havre-Saint-Pierre,CA,2022-06-07 22:46:21,50.2334,-63.5986,62.96,25,0,4.61
225,Jining,CN,2022-06-07 22:46:21,35.405,116.5814,74.16,45,8,14.34
226,Holme,DK,2022-06-07 22:46:22,56.1138,10.1725,54.97,91,99,15.41
227,Buala,SB,2022-06-07 22:46:22,-8.145,159.5921,82.53,79,81,11.39
228,Esmeraldas,BR,2022-06-07 22:46:37,-19.7625,-44.3139,70.66,55,16,0.76
229,Cardinal,CA,2022-06-07 22:45:42,44.7834,-75.3826,65.64,100,100,12.66
230,Touros,BR,2022-06-07 22:46:38,-5.1989,-35.4608,76.26,81,100,9.26
231,Lebu,CL,2022-06-07 22:46:38,-37.6167,-73.65,52.81,92,37,1.57
232,Camopi,GF,2022-06-07 22:46:38,3.1655,-52.3158,72.52,99,72,3.24
233,Mbaiki,CF,2022-06-07 22:46:39,3.8678,17.9892,70.21,96,91,4.18
234,Carlsbad,US,2022-06-07 22:46:39,33.1581,-117.3506,88.84,77,100,10.36
235,Leh,IN,2022-06-07 22:46:39,34.1667,77.5833,50.02,57,52,4.61
236,Necochea,AR,2022-06-07 22:46:39,-38.5473,-58.7368,56.57,56,92,11.68
237,Gorlitz,DE,2022-06-07 22:46:40,51.1552,14.9885,57.97,98,100,6.31
238,Iquique,CL,2022-06-07 22:43:58,-20.2208,-70.1431,62.64,87,50,0.34
239,Kurchum,KZ,2022-06-07 22:46:40,48.5722,83.6542,56.14,54,50,6.31
240,Tautira,PF,2022-06-07 22:46:40,-17.7333,-149.15,78.31,77,28,10.22
241,Jalu,LY,2022-06-07 22:46:41,29.0331,21.5482,79.77,48,0,12.15
242,Puerto Lleras,CO,2022-06-07 22:46:41,3.0223,-73.4044,73.4,93,80,1.3
243,Provideniya,RU,2022-06-07 22:46:12,64.3833,-173.3,39.31,87,29,8.95
244,Ibiracu,BR,2022-06-07 22:46:41,-19.8319,-40.3697,72.81,62,43,2.62
245,Turbat,PK,2022-06-07 22:46:42,26.0023,63.044,81.18,71,0,8.28
246,Pitimbu,BR,2022-06-07 22:46:42,-7.4706,-34.8086,75.79,79,58,7.85
247,Huimanguillo,MX,2022-06-07 22:46:42,17.85,-93.3833,89.47,58,100,4.47
